CLUSTER,TOKEN,R,ROC_AUC,DOMAIN,TITLE
1,memory,0.18865946690805926,0.6535431506965161,Memory,Memory
1,emotion,0.1678851696795547,0.6535431506965161,Memory,Memory
1,fear,0.16688016160167482,0.6535431506965161,Memory,Memory
1,episodic_memory,0.16146327759130166,0.6535431506965161,Memory,Memory
1,declarative_memory,0.1554216478680632,0.6535431506965161,Memory,Memory
1,remembering,0.1525848756016867,0.6535431506965161,Memory,Memory
1,valence,0.14880125484047524,0.6535431506965161,Memory,Memory
1,recognition_memory,0.14502296778971366,0.6535431506965161,Memory,Memory
1,facial_expression,0.14326741308458868,0.6535431506965161,Memory,Memory
1,emotional_memory,0.1390372962928758,0.6535431506965161,Memory,Memory
1,encoding,0.1381056579198014,0.6535431506965161,Memory,Memory
1,arousal,0.13264683216108125,0.6535431506965161,Memory,Memory
1,retrieval,0.13202110747391765,0.6535431506965161,Memory,Memory
1,recognition,0.13160336293755925,0.6535431506965161,Memory,Memory
1,recall,0.12823492057457586,0.6535431506965161,Memory,Memory
1,picture,0.1258283715195509,0.6535431506965161,Memory,Memory
1,face,0.12516410541233253,0.6535431506965161,Memory,Memory
1,memory_process,0.120737477850855,0.6535431506965161,Memory,Memory
1,forgetting,0.1163181771493712,0.6535431506965161,Memory,Memory
1,source_memory,0.11400205337584544,0.6535431506965161,Memory,Memory
1,memory_consolidation,0.11198463690768007,0.6535431506965161,Memory,Memory
1,encoding_task,0.11070044335746723,0.6535431506965161,Memory,Memory
2,memory,0.10428343668482844,0.5807418367167074,Episodic Memory,Episodic Memory
2,episodic_memory,0.08958345331562798,0.5807418367167074,Episodic Memory,Episodic Memory
2,declarative_memory,0.08537601633166812,0.5807418367167074,Episodic Memory,Episodic Memory
2,recognition_memory,0.08438296270747404,0.5807418367167074,Episodic Memory,Episodic Memory
2,episodic_simulation,0.0838919243721448,0.5807418367167074,Episodic Memory,Episodic Memory
2,recognition,0.08248477157017059,0.5807418367167074,Episodic Memory,Episodic Memory
2,autobiographical_memory,0.07815633630874261,0.5807418367167074,Episodic Memory,Episodic Memory
2,remembering,0.07589311354230016,0.5807418367167074,Episodic Memory,Episodic Memory
2,recall,0.07298863236170561,0.5807418367167074,Episodic Memory,Episodic Memory
2,retrieval,0.0727614292736132,0.5807418367167074,Episodic Memory,Episodic Memory
2,face_perception,0.0692636767175282,0.5807418367167074,Episodic Memory,Episodic Memory
2,remote_memory,0.06449768264823583,0.5807418367167074,Episodic Memory,Episodic Memory
2,prospection,0.06395632736794203,0.5807418367167074,Episodic Memory,Episodic Memory
2,familiarity,0.06393774712717351,0.5807418367167074,Episodic Memory,Episodic Memory
2,episodic_future_thinking,0.06386017539010319,0.5807418367167074,Episodic Memory,Episodic Memory
2,semantic_memory,0.06293113403160189,0.5807418367167074,Episodic Memory,Episodic Memory
2,semantic_information,0.06234992400740561,0.5807418367167074,Episodic Memory,Episodic Memory
2,cognitive_map,0.06146981072186328,0.5807418367167074,Episodic Memory,Episodic Memory
2,source_memory,0.0609289881086605,0.5807418367167074,Episodic Memory,Episodic Memory
2,spatial_memory,0.06036642292252657,0.5807418367167074,Episodic Memory,Episodic Memory
2,memory_process,0.05894130485513835,0.5807418367167074,Episodic Memory,Episodic Memory
2,free_recall,0.056261507358524726,0.5807418367167074,Episodic Memory,Episodic Memory
2,emotional_memory,0.05500257453199542,0.5807418367167074,Episodic Memory,Episodic Memory
2,encoding,0.05477811895525482,0.5807418367167074,Episodic Memory,Episodic Memory
2,face_recognition,0.05299942617470135,0.5807418367167074,Episodic Memory,Episodic Memory
3,face_perception,0.193009995916595,0.6446145168411266,Recognition,Recognition
3,recognition,0.1662410800572945,0.6446145168411266,Recognition,Recognition
3,familiarity,0.15427121648506587,0.6446145168411266,Recognition,Recognition
3,object_recognition,0.15293433308730695,0.6446145168411266,Recognition,Recognition
3,face,0.1502252513876136,0.6446145168411266,Recognition,Recognition
3,face_recognition,0.1423583331357428,0.6446145168411266,Recognition,Recognition
3,visual_object,0.13583319269288427,0.6446145168411266,Recognition,Recognition
3,picture,0.13417270061287173,0.6446145168411266,Recognition,Recognition
3,vision,0.1275773884331275,0.6446145168411266,Recognition,Recognition
